Rank,Position Rank,ADP,Player Name,Position,Team,Bye,% Drafted,Yahoo Player ID,Yahoo Data As Of,Recommended Tier As Of,Recommended Tier,Manual - Tier,Yahoo Status,Yahoo Injury Note
1,1,1.3,Jahmyr Gibbs,RB,DET,6,100%,40059,9/6/26,8/30/26,1,1,,
2,2,2.0,Bijan Robinson,RB,ATL,11,100%,40055,9/6/26,8/30/26,1,1,,
3,1,3.5,Ja'Marr Chase,WR,CIN,6,100%,33393,9/6/26,8/30/26,1,1,Q,Knee
4,2,5.0,Puka Nacua,WR,LAR,11,100%,40168,9/6/26,8/30/26,1,1,Q,Groin
5,3,6.1,Jonathan Taylor,RB,IND,13,100%,32711,9/6/26,8/30/26,2,2,,
6,4,6.0,Christian McCaffrey,RB,SF,8,100%,30121,9/6/26,8/30/26,1,2,Q,Undisclosed
7,3,7.9,Amon-Ra St. Brown,WR,DET,6,100%,33500,9/6/26,8/30/26,2,1,,
8,4,7.3,Jaxon Smith-Njigba,WR,SEA,11,100%,40041,9/6/26,8/30/26,2,1,,
9,5,9.4,James Cook III,RB,BUF,7,100%,34019,9/6/26,8/30/26,2,2,,
10,6,11.2,Saquon Barkley,RB,PHI,10,100%,30972,9/6/26,8/30/26,2,2,,
11,7,15.1,Kenneth Walker III,RB,KC,5,100%,33996,9/6/26,8/30/26,2,3,,
12,5,11.2,CeeDee Lamb,WR,DAL,14,100%,32687,9/6/26,8/30/26,2,2,,
13,6,13.3,Justin Jefferson,WR,MIN,6,100%,32692,9/6/26,8/30/26,2,2,,
14,8,15.6,Chase Brown,RB,CIN,6,100%,40196,9/6/26,8/30/26,2,2,,
15,9,17.0,Derrick Henry,RB,BAL,13,100%,29279,9/6/26,8/30/26,3,3,,
16,10,18.1,Omarion Hampton,RB,LAC,7,100%,41807,9/6/26,8/30/26,3,3,,
17,11,15.4,De'Von Achane,RB,MIA,6,100%,40118,9/6/26,8/30/26,2,3,,
18,7,21.4,Nico Collins,WR,HOU,8,100%,33477,9/6/26,8/30/26,3,3,,
19,1,20.9,Brock Bowers,TE,LV,13,100%,40878,9/6/26,8/30/26,1,1,,
20,8,20.4,Drake London,WR,ATL,11,100%,33963,9/6/26,8/30/26,3,3,,
21,12,18.2,Ashton Jeanty,RB,LV,13,100%,41791,9/6/26,8/30/26,3,3,Q,Ankle
22,9,22.5,George Pickens,WR,DAL,14,100%,34007,9/6/26,8/30/26,3,3,,
23,10,24.0,A.J. Brown,WR,NE,11,100%,31883,9/6/26,8/30/26,3,3,,
24,11,30.8,Chris Olave,WR,NO,8,100%,33966,9/6/26,8/30/26,3,3,,
25,12,30.2,Malik Nabers,WR,NYG,8,100%,40899,9/6/26,8/30/26,4,3,Q,Knee - ACL
26,13,29.5,DeVonta Smith,WR,PHI,10,100%,33398,9/6/26,8/30/26,4,4,,
27,13,27.8,Kyren Williams,RB,LAR,11,100%,34120,9/6/26,8/30/26,4,4,,
28,14,29.8,Jeremiyah Love,RB,ARI,14,100%,42625,9/6/26,8/30/26,4,4,Q,Ankle
29,15,33.1,Javonte Williams,RB,DAL,14,100%,33423,9/6/26,8/30/26,4,4,,
30,16,34.5,Breece Hall,RB,NYJ,13,100%,33991,9/6/26,8/30/26,4,4,Q,Groin
31,14,33.7,Tee Higgins,WR,CIN,6,100%,32703,9/6/26,8/30/26,4,4,Q,Heel
32,15,35.6,Zay Flowers,WR,BAL,13,100%,40039,9/6/26,8/30/26,4,4,Q,Lower Body
33,16,39.6,Jaylen Waddle,WR,DEN,10,100%,33394,9/6/26,8/30/26,5,5,,
34,2,27.6,Trey McBride,TE,ARI,14,100%,34010,9/6/26,8/30/26,2,2,,
35,1,20.9,Josh Allen,QB,BUF,7,100%,30977,9/6/26,8/30/26,1,1,,
36,17,47.3,Garrett Wilson,WR,NYJ,13,100%,33965,9/6/26,8/30/26,5,5,,
37,18,41.9,Tetairoa McMillan,WR,CAR,5,100%,41793,9/6/26,8/30/26,5,5,,
38,3,39.2,Colston Loveland,TE,CHI,10,100%,41795,9/6/26,8/30/26,3,3,,
39,19,36.1,Rashee Rice,WR,KC,5,100%,40084,9/6/26,8/30/26,4,4,,
40,17,41.7,Travis Etienne Jr.,RB,NO,8,100%,33413,9/6/26,8/30/26,4,4,,
41,20,44.6,Ladd McConkey,WR,LAC,7,100%,40908,9/6/26,8/30/26,5,5,,
42,18,45.4,D'Andre Swift,RB,CHI,10,100%,32705,9/6/26,8/30/26,5,5,Q,Abdomen
43,21,46.0,Emeka Egbuka,WR,TB,10,100%,41804,9/6/26,8/30/26,5,5,Q,Toe
44,22,57.6,Luther Burden III,WR,CHI,10,100%,41824,9/6/26,8/30/26,5,5,Q,Groin
45,23,58.5,DJ Moore,WR,BUF,7,100%,30994,9/6/26,8/30/26,6,6,,
46,4,47.0,Tyler Warren,TE,IND,13,100%,41799,9/6/26,8/30/26,3,3,Q,Groin
47,24,54.5,Terry McLaurin,WR,WAS,7,100%,31908,9/6/26,8/30/26,5,5,,
48,19,42.4,Cam Skattebo,RB,NYG,8,100%,41922,9/6/26,8/30/26,5,5,,
49,25,65.3,Jameson Williams,WR,DET,6,100%,33967,9/6/26,8/30/26,5,5,,
50,20,53.6,Bucky Irving,RB,TB,10,100%,40993,9/6/26,8/30/26,6,6,,
51,26,66.6,Rome Odunze,WR,CHI,10,100%,40901,9/6/26,8/30/26,7,7,Q,Leg
52,27,67.7,Christian Watson,WR,GB,11,100%,33989,9/6/26,8/30/26,6,6,,
53,2,38.7,Lamar Jackson,QB,BAL,13,100%,31002,9/6/26,8/30/26,1,2,,
54,28,76.5,Parker Washington,WR,JAX,7,100%,40234,9/6/26,8/30/26,6,6,,
55,29,57.2,Davante Adams,WR,LAR,11,100%,27581,9/6/26,8/30/26,5,6,,
56,21,54.5,Quinshon Judkins,RB,CLE,11,100%,41821,9/6/26,8/30/26,6,6,,
57,22,53.0,David Montgomery,RB,HOU,8,100%,31905,9/6/26,8/30/26,5,5,,
58,23,61.3,Bhayshul Tuten,RB,JAX,7,100%,41900,9/6/26,8/30/26,6,6,Q,Illness
59,24,63.4,Jadarian Price,RB,SEA,11,100%,42654,9/6/26,8/30/26,6,6,,
60,30,70.0,Mike Evans,WR,SF,8,100%,27535,9/6/26,8/30/26,5,6,Q,Groin
61,3,47.9,Drake Maye,QB,NE,11,100%,40881,9/6/26,8/30/26,2,2,,
62,25,76.5,Rhamondre Stevenson,RB,NE,11,100%,33508,9/6/26,8/30/26,6,6,,
63,4,56.2,Jalen Hurts,QB,PHI,10,100%,32723,9/6/26,8/30/26,2,3,,
64,5,50.5,Joe Burrow,QB,CIN,6,100%,32671,9/6/26,8/30/26,2,3,,
65,26,67.6,TreVeyon Henderson,RB,NE,11,100%,41823,9/6/26,8/30/26,7,7,Q,Ankle
66,5,60.1,Tucker Kraft,TE,GB,11,100%,40102,9/6/26,8/30/26,3,3,Q,Knee - ACL
67,6,55.9,Jayden Daniels,QB,WAS,7,100%,40896,9/6/26,8/30/26,1,3,,
68,31,78.2,Marvin Harrison Jr.,WR,ARI,14,100%,40893,9/6/26,8/30/26,7,7,,
69,27,75.8,Jaylen Warren,RB,PIT,9,100%,34447,9/6/26,8/30/26,7,7,,
70,6,63.1,Sam LaPorta,TE,DET,6,100%,40064,9/6/26,8/30/26,3,3,Q,Hip
71,28,90.6,MarShawn Lloyd,RB,GB,11,37%,40971,9/6/26,9/6/26,7,7,,
72,7,66.5,Caleb Williams,QB,CHI,10,100%,40900,9/6/26,8/30/26,3,4,,
73,32,83.9,Brian Thomas Jr.,WR,JAX,7,100%,40883,9/6/26,8/30/26,7,7,,
